Entity,Eutrophication per kilogram,rank
Ale,0.000774287,8.0
Almond butter,0.03172466,143.0
Almond milk,0.005330389,29.0
Almonds,0.03149408,142.0
Apple juice,0.001278726,9.0
Apple pie,0.009804901,60.0
Apples,6.8e-13,1.0
Apricot jam,0.018547068,103.0
Asparagus,0.005063705,25.0
Avocados,0.002654347,15.0
Bacon,0.156728755,199.0
Bagels,0.008782084,52.0
Baguette,0.012616733,71.0
Banana loaf,0.014628818,82.0
Bananas,0.004082797,21.0
Beans,0.017318517,98.0
Beef burger,1.0,211.0
Beef curry,0.455868641,207.0
Beef meatballs,0.641514274,208.0
Beef mince,0.774194964,210.0
Beef noodles,0.024889334,134.0
Beef steak,0.651106319,209.0
Beer,0.002925856,18.0
Beetroot,0.013856886,75.0
Biscuits,0.023572736,129.0
Blue cheese,0.12006352,192.0
Brazil nuts,0.033352002,147.0
Bread,0.008723662,49.0
Breakfast cereal,0.015038613,83.0
Brie,0.114213378,188.0
Broccoli,0.007054021,37.0
Butter,0.016854217,96.0
Cabbage,0.009043175,56.0
Caesar salad,0.011036683,65.0
Camembert,0.098072082,182.0
Carrot cake,0.015914727,91.0
Carrots,0.008485688,46.0
Cashew nuts,0.032757233,145.0
Cauliflower,0.008568011,47.0
Cereal bars,0.022819372,125.0
Cheddar cheese,0.125084016,193.0
Cheesecake,0.015961755,92.0
Cherry tomatoes,0.008819585,53.0
Chia seeds,0.008673371,48.0
Chicken breast,0.065477495,169.0
Chicken burger,0.038611396,153.0
Chicken curry,0.029132116,140.0
Chicken noodles,0.018325428,102.0
Chicken pasta,0.020222442,111.0
Chicken sausages,0.060023246,167.0
Chicken thighs,0.07001908,172.0
Chicken wings,0.068475022,171.0
Chickpeas,0.015356139,88.0
Chilli con carne,0.34015518,206.0
Chocolate biscuits,0.027027592,137.0
Chocolate cake,0.022651724,124.0
Chocolate cereals,0.021946256,119.0
Chocolate cheesecake,0.024887528,133.0
Chocolate spread,0.039392578,155.0
Cider,0.003588508,20.0
Coconut milk,0.001648146,10.0
Coconut oil,0.009598012,59.0
Cod,0.093259489,177.0
Cod fish fingers,0.080433722,174.0
Cod fishcakes,0.065536097,170.0
Coffee beans,0.11633188,189.0
Coffee pods,0.136887701,196.0
Cookies,0.024511865,132.0
Cottage cheese,0.153178001,198.0
Cottage pie,0.312400408,205.0
Courgettes,0.003145974,19.0
Couscous,0.00895031,54.0
Cow's milk,0.018590316,104.0
Cracker biscuits,0.023170383,127.0
Crisps,0.0562881,162.0
Croissants,0.01518639,86.0
Cucumber,0.002360508,13.0
Dairy-free cheese,0.019063977,106.0
Dairy-free ice cream,0.013942499,76.0
Dark chocolate,0.073229204,173.0
Doughnuts,0.011281666,68.0
Egg noodles,0.012911318,73.0
Eggs,0.034005805,148.0
Falafels,0.020113262,110.0
Feta cheese,0.088711966,176.0
Flapjack,0.019187554,107.0
Frozen chips (french fries),0.015060499,84.0
Frozen jacket potatoes,0.006086989,30.0
Frozen mashed potato,0.006720937,33.0
Frozen onion rings,0.012658973,72.0
Frozen potato wedges,0.011005216,64.0
Frozen roast potatoes,0.021961958,120.0
Frozen sweet potato fries,0.010031276,62.0
Fruit cake,0.015206894,87.0
Fruit smoothies,0.004465729,23.0
Garden peas,0.020320255,112.0
Goat's cheese,0.117115082,190.0
Granola,0.025151461,135.0
Grapes,0.006737038,34.0
Haddock risotto,0.036404602,151.0
Halloumi cheese,0.095712454,179.0
Ice cream,0.020546521,114.0
Ice lollies,0.012490486,70.0
Instant coffee,0.195573089,203.0
Kale,0.009279976,58.0
Kiwis,0.021726657,118.0
